"dataset","learningrate","bottleneck","blockForm","testAccuracy","nblocks","valAccuracy","nhidden"
"cardiotocography-3clases",0.1,0.5,"rect",0.902071535587311,16,0.930172377824783,256
"cardiotocography-3clases",0.1,0.25,"rect",0.917137444019318,8,0.913793098926544,256
"cardiotocography-3clases",0.1,0.5,"rect",0.900188267230988,4,0.913362061977387,256
"cardiotocography-3clases",0.1,0.25,"rect",0.920903921127319,3,0.910344821214676,256
"cardiotocography-3clases",0.1,0.5,"rect",0.898304998874664,8,0.909051686525345,256
"cardiotocography-3clases",0.1,0.25,"rect",0.911487698554993,4,0.905603408813477,256
"cardiotocography-3clases",0.1,0.25,"rect",0.911487698554993,2,0.903448247909546,256
"cardiotocography-3clases",0.1,0.25,"rect",0.920903921127319,4,0.903017234802246,1024
"cardiotocography-3clases",0.1,0.5,"diavolo",0.902071535587311,2,0.901724112033844,256
"cardiotocography-3clases",0.1,0.25,"diavolo",0.905837953090668,8,0.899137938022614,256
"cardiotocography-3clases",0.1,0.5,"diavolo",0.900188326835632,3,0.898275864124298,256
"cardiotocography-3clases",0.1,0.5,"rect",0.924670398235321,2,0.897844821214676,512
"cardiotocography-3clases",0.1,0.25,"diavolo",0.900188326835632,2,0.897413730621338,512
"cardiotocography-3clases",0.1,0.5,"rect",0.907721221446991,2,0.896982747316361,1024
"cardiotocography-3clases",0.1,0.5,"diavolo",0.905838012695312,4,0.89655174612999,256
"cardiotocography-3clases",0.1,0.5,"diavolo",0.898305058479309,16,0.896120673418045,256
"cardiotocography-3clases",0.01,0.5,"diavolo",0.900188267230988,8,0.896120673418045,256
"cardiotocography-3clases",0.1,0.5,"rect",0.905837953090668,3,0.895689642429352,1024
"cardiotocography-3clases",0.1,0.25,"diavolo",0.907721281051636,16,0.895258623361587,512
"cardiotocography-3clases",0.1,0.25,"rect",0.909604430198669,4,0.893534487485886,512
"cardiotocography-3clases",0.1,0.25,"rect",0.911487698554993,2,0.893103450536728,1024
"cardiotocography-3clases",0.1,0.25,"diavolo",0.911487698554993,4,0.893103420734405,512
"cardiotocography-3clases",0.1,0.5,"rect",0.894538581371307,4,0.892241382598877,512
"cardiotocography-3clases",0.1,0.25,"diavolo",0.905838012695312,2,0.892241358757019,1024
"cardiotocography-3clases",0.1,0.25,"diavolo",0.898305058479309,4,0.891379302740097,1024
"cardiotocography-3clases",0.1,0.5,"rect",0.887005567550659,3,0.891379290819168,512
"cardiotocography-3clases",0.1,0.25,"diavolo",0.887005567550659,16,0.890948271751404,256
"cardiotocography-3clases",0.1,0.5,"diavolo",0.885122358798981,3,0.890948271751404,512
"cardiotocography-3clases",0.1,0.25,"diavolo",0.903954744338989,2,0.890517234802246,256
"cardiotocography-3clases",0.1,0.25,"rect",0.898305058479309,3,0.890517216920853,512
"cardiotocography-3clases",0.01,0.5,"rect",0.883239150047302,2,0.890517210960388,256
"cardiotocography-3clases",0.1,0.25,"diavolo",0.903954684734344,3,0.890086185932159,1024
"cardiotocography-3clases",0.1,0.25,"rect",0.903954744338989,3,0.889655178785324,1024
"cardiotocography-3clases",0.01,0.5,"rect",0.873822927474976,3,0.888362067937851,512
"cardiotocography-3clases",0.1,0.5,"rect",0.896421790122986,3,0.888362067937851,256
"cardiotocography-3clases",0.1,0.5,"diavolo",0.864406764507294,8,0.887499994039536,1024
"cardiotocography-3clases",0.1,0.25,"diavolo",0.898304998874664,16,0.886637932062149,1024
"cardiotocography-3clases",0.1,0.5,"diavolo",0.879472672939301,2,0.886206895112991,1024
"cardiotocography-3clases",0.01,0.25,"rect",0.870056450366974,16,0.886206889152527,256
"cardiotocography-3clases",0.1,0.5,"diavolo",0.900188267230988,8,0.886206877231598,512
"cardiotocography-3clases",0.1,0.5,"diavolo",0.913370847702026,4,0.885775876045227,512
"cardiotocography-3clases",0.1,0.5,"diavolo",0.890772044658661,4,0.885775870084763,1024
"cardiotocography-3clases",0.01,0.25,"rect",0.898305058479309,4,0.885775852203369,1024
"cardiotocography-3clases",0.1,0.25,"diavolo",0.905838012695312,8,0.885344809293747,512
"cardiotocography-3clases",0.1,0.5,"diavolo",0.879472613334656,3,0.884913772344589,1024
"cardiotocography-3clases",0.01,0.5,"diavolo",0.864406764507294,3,0.884913754463196,512
"cardiotocography-3clases",0.01,0.25,"diavolo",0.870056450366974,2,0.884482717514038,256
"cardiotocography-3clases",0.1,0.25,"diavolo",0.883239150047302,8,0.884482717514038,1024
"cardiotocography-3clases",0.1,0.5,"diavolo",0.913370966911316,2,0.884051710367203,512
"cardiotocography-3clases",0.1,0.25,"diavolo",0.890772044658661,3,0.884051698446274,512
"cardiotocography-3clases",0.01,0.25,"rect",0.888888835906982,2,0.884051698446274,256
"cardiotocography-3clases",0.01,0.5,"diavolo",0.87382298707962,16,0.88275859951973,256
"cardiotocography-3clases",0.1,0.25,"rect",0.900188267230988,2,0.88275859951973,512
"cardiotocography-3clases",0.1,0.5,"rect",0.903954803943634,2,0.881465500593186,256
"cardiotocography-3clases",0.01,0.5,"rect",0.892655372619629,8,0.880603432655335,512
"cardiotocography-3clases",0.01,0.5,"rect",0.860640227794647,3,0.879310345649719,1024
"cardiotocography-3clases",0.01,0.5,"rect",0.896421790122986,16,0.878448283672333,512
"cardiotocography-3clases",0.01,0.25,"diavolo",0.879472613334656,8,0.878017216920853,256
"cardiotocography-3clases",0.01,0.5,"rect",0.879472613334656,2,0.877586168050766,512
"cardiotocography-3clases",0.01,0.25,"rect",0.862523555755615,4,0.876724094152451,256
"cardiotocography-3clases",0.01,0.25,"diavolo",0.866289973258972,2,0.875862061977387,512
"cardiotocography-3clases",0.01,0.25,"diavolo",0.888888895511627,16,0.8754310131073,256
"cardiotocography-3clases",0.01,0.25,"rect",0.885122418403625,3,0.874568969011307,512
"cardiotocography-3clases",0.01,0.25,"rect",0.887005627155304,4,0.874568927288056,512
"cardiotocography-3clases",0.01,0.25,"rect",0.853107333183289,2,0.874137949943543,1024
"cardiotocography-3clases",0.01,0.5,"rect",0.860640287399292,8,0.874137908220291,256
"cardiotocography-3clases",0.01,0.25,"diavolo",0.871939718723297,4,0.872844815254212,512
"cardiotocography-3clases",0.01,0.25,"diavolo",0.885122418403625,16,0.871982765197754,1024
"cardiotocography-3clases",0.01,0.25,"diavolo",0.875706195831299,2,0.871982741355896,1024
"cardiotocography-3clases",0.01,0.25,"rect",0.892655313014984,8,0.871551710367203,1024
"cardiotocography-3clases",0.01,0.5,"diavolo",0.883239150047302,4,0.871551704406738,512
"cardiotocography-3clases",0.01,0.5,"diavolo",0.885122358798981,2,0.870689654350281,256
"cardiotocography-3clases",0.01,0.5,"rect",0.896421790122986,8,0.870689642429352,1024
"cardiotocography-3clases",0.01,0.5,"diavolo",0.860640287399292,4,0.870258617401123,256
"cardiotocography-3clases",0.01,0.5,"rect",0.877589404582977,3,0.870258611440659,256
"cardiotocography-3clases",0.01,0.5,"rect",0.879472613334656,4,0.870258605480194,1024
"cardiotocography-3clases",0.01,0.25,"rect",0.883239150047302,3,0.870258593559265,256
"cardiotocography-3clases",0.01,0.5,"diavolo",0.883239209651947,16,0.870258587598801,512
"cardiotocography-3clases",0.01,0.25,"diavolo",0.885122418403625,16,0.869827544689179,512
"cardiotocography-3clases",0.01,0.25,"rect",0.890772104263306,8,0.869396537542343,512
"cardiotocography-3clases",0.01,0.25,"rect",0.879472672939301,16,0.868103432655335,1024
"cardiotocography-3clases",0.01,0.25,"rect",0.868173241615295,2,0.866810321807861,512
"cardiotocography-3clases",0.01,0.25,"rect",0.853107333183289,3,0.866379284858704,1024
"cardiotocography-3clases",0.01,0.5,"rect",0.864406704902649,16,0.865086197853089,256
"cardiotocography-3clases",0.01,0.25,"diavolo",0.868173241615295,4,0.865086197853089,256
"cardiotocography-3clases",0.01,0.5,"rect",0.868173182010651,4,0.865086185932159,256
"cardiotocography-3clases",0.01,0.5,"rect",0.875706136226654,16,0.864655160903931,1024
"cardiotocography-3clases",0.01,0.25,"diavolo",0.860640287399292,8,0.862931036949158,512
"cardiotocography-3clases",0.01,0.25,"rect",0.858757019042969,8,0.862068945169449,256
"cardiotocography-3clases",0.01,0.5,"diavolo",0.885122418403625,8,0.861637896299362,1024
"cardiotocography-3clases",0.01,0.5,"rect",0.860640168190002,2,0.861206883192062,1024
"cardiotocography-3clases",0.01,0.25,"diavolo",0.858757019042969,4,0.859482741355896,1024
"cardiotocography-3clases",0.01,0.25,"diavolo",0.887005567550659,8,0.858189642429352,1024
"cardiotocography-3clases",0.01,0.5,"rect",0.85687381029129,4,0.857758605480194,512
"cardiotocography-3clases",0.01,0.5,"diavolo",0.856873691082001,8,0.856465494632721,512
"cardiotocography-3clases",0.01,0.25,"diavolo",0.873822927474976,3,0.853448265790939,512
"cardiotocography-3clases",0.01,0.5,"diavolo",0.888888835906982,4,0.852586162090302,1024
"cardiotocography-3clases",0.01,0.25,"diavolo",0.871939659118652,3,0.851293063163757,256
"cardiotocography-3clases",0.01,0.5,"diavolo",0.847457587718964,2,0.847844839096069,512
"cardiotocography-3clases",0.01,0.5,"diavolo",0.860640287399292,3,0.844396507740021,256
"cardiotocography-3clases",0.1,0.25,"diavolo",0.877589464187622,3,0.838362061977386,256
"cardiotocography-3clases",0.01,0.5,"diavolo",0.82297545671463,2,0.836206859350205,1024
"cardiotocography-3clases",0.1,0.25,"diavolo",0.83992463350296,4,0.826724123954773,256
"cardiotocography-3clases",0.01,0.5,"diavolo",0.830508470535278,3,0.820258581638336,1024
"cardiotocography-3clases",0.01,0.25,"diavolo",0.830508351325989,3,0.818103438615799,1024
"cardiotocography-3clases",0.01,0.5,"diavolo",0.836158156394958,16,0.81422410607338,1024
"cardiotocography-3clases",0.1,0.5,"diavolo",0.755178928375244,8,0.772413790225983,256
"cardiotocography-3clases",0.1,0.25,"rect",0.741996169090271,16,0.746982753276825,256
"cardiotocography-3clases",0.01,0.25,"rect",0.711864411830902,16,0.741810345649719,512
"cardiotocography-3clases",0.1,0.25,"rect",0.779661059379578,16,0.74137932062149,1024
"cardiotocography-3clases",0.1,0.5,"rect",0.779661059379578,16,0.74137932062149,1024
"cardiotocography-3clases",0.1,0.25,"rect",0.779660940170288,16,0.74137932062149,512
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,16,0.74137932062149,1024
"cardiotocography-3clases",1,0.25,"diavolo",0.779661059379578,16,0.74137932062149,512
"cardiotocography-3clases",1,0.5,"rect",0.779661059379578,16,0.74137932062149,512
"cardiotocography-3clases",1,0.5,"diavolo",0.779660999774933,16,0.74137932062149,512
"cardiotocography-3clases",1,0.25,"rect",0.779661059379578,16,0.74137932062149,256
"cardiotocography-3clases",1,0.5,"rect",0.779660940170288,16,0.74137932062149,256
"cardiotocography-3clases",0.1,0.25,"rect",0.779660940170288,8,0.74137932062149,1024
"cardiotocography-3clases",0.1,0.5,"rect",0.779660940170288,8,0.74137932062149,1024
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,8,0.74137932062149,1024
"cardiotocography-3clases",1,0.5,"rect",0.779660940170288,8,0.74137932062149,1024
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,8,0.74137932062149,512
"cardiotocography-3clases",1,0.25,"diavolo",0.779660940170288,8,0.74137932062149,512
"cardiotocography-3clases",1,0.5,"rect",0.779661059379578,8,0.74137932062149,512
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,8,0.74137932062149,512
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,8,0.74137932062149,256
"cardiotocography-3clases",1,0.25,"rect",0.779661059379578,4,0.74137932062149,1024
"cardiotocography-3clases",1,0.25,"diavolo",0.779661059379578,4,0.74137932062149,1024
"cardiotocography-3clases",1,0.5,"rect",0.779660940170288,4,0.74137932062149,1024
"cardiotocography-3clases",1,0.5,"diavolo",0.779660940170288,4,0.74137932062149,1024
"cardiotocography-3clases",1,0.25,"rect",0.779660940170288,4,0.74137932062149,512
