"dataset","bottleneck","valAccuracy","blockForm","nblocks","testAccuracy","learningrate","nhidden"
"statlog-german-credit",0.5,0.777142906188965,"diavolo",2,0.772000014781952,0.1,1024
"statlog-german-credit",0.5,0.774285745620728,"rect",4,0.763999998569489,0.1,1024
"statlog-german-credit",0.25,0.76952383518219,"diavolo",2,0.74399995803833,0.1,1024
"statlog-german-credit",0.5,0.763809549808502,"diavolo",2,0.775999963283539,0.1,256
"statlog-german-credit",0.5,0.761904835700989,"rect",4,0.735999941825867,0.1,256
"statlog-german-credit",0.5,0.758095264434814,"rect",4,0.759999990463257,0.1,512
"statlog-german-credit",0.25,0.753333377838135,"diavolo",2,0.719999969005585,0.01,1024
"statlog-german-credit",0.5,0.753333365917206,"rect",8,0.719999969005585,0.01,1024
"statlog-german-credit",0.5,0.752381002902985,"rect",16,0.763999998569489,0.1,256
"statlog-german-credit",0.5,0.752380967140198,"rect",3,0.764000058174133,0.1,1024
"statlog-german-credit",0.25,0.752380967140198,"diavolo",3,0.75600004196167,0.1,512
"statlog-german-credit",0.25,0.747619068622589,"rect",8,0.736000061035156,0.01,256
"statlog-german-credit",0.5,0.745714330673218,"rect",8,0.751999974250793,0.1,512
"statlog-german-credit",0.5,0.742857187986374,"rect",2,0.783999979496002,0.1,1024
"statlog-german-credit",0.25,0.737142902612686,"rect",3,0.788000047206879,0.1,1024
"statlog-german-credit",0.5,0.737142896652222,"diavolo",3,0.724000036716461,0.1,1024
"statlog-german-credit",0.5,0.735238128900528,"rect",2,0.748000025749207,0.01,1024
"statlog-german-credit",0.25,0.734285771846771,"diavolo",8,0.783999979496002,0.1,256
"statlog-german-credit",0.5,0.733333396911621,"diavolo",8,0.763999998569489,0.1,512
"statlog-german-credit",0.5,0.729523873329163,"rect",2,0.76800000667572,0.1,512
"statlog-german-credit",0.25,0.729523855447769,"rect",3,0.740000009536743,0.1,256
"statlog-german-credit",0.25,0.728571474552155,"diavolo",2,0.768000066280365,0.1,256
"statlog-german-credit",0.5,0.72761909365654,"rect",8,0.787999987602234,0.1,256
"statlog-german-credit",0.25,0.727619087696076,"diavolo",2,0.748000085353851,0.01,256
"statlog-german-credit",0.5,0.725714349746704,"rect",3,0.804000079631805,0.1,512
"statlog-german-credit",0.5,0.724761950969696,"rect",2,0.760000050067902,0.1,256
"statlog-german-credit",0.25,0.722857201099396,"diavolo",3,0.759999990463257,0.1,1024
"statlog-german-credit",0.25,0.722857189178467,"rect",2,0.800000011920929,0.1,512
"statlog-german-credit",0.25,0.721904790401459,"diavolo",2,0.751999974250793,0.1,512
