"dataset","nlayers","testAccuracy","layerForm","nhidden","valAccuracy","learningrate"
"statlog-german-credit",2,0.752000093460083,"rect",256,0.832307702302933,1
"statlog-german-credit",2,0.736000001430511,"rect",256,0.827692317962647,0.01
"statlog-german-credit",4,0.748000025749207,"rect",256,0.824615395069122,1
"statlog-german-credit",2,0.703999996185303,"cone",512,0.82307693362236,1
"statlog-german-credit",4,0.728000044822693,"rect",512,0.816923087835312,1
"statlog-german-credit",3,0.755999982357025,"rect",1024,0.816923087835312,1
"statlog-german-credit",2,0.728000044822693,"rect",512,0.813846164941788,0.01
"statlog-german-credit",2,0.73199999332428,"cone",256,0.806153857707977,1
"statlog-german-credit",4,0.703999996185303,"cone",512,0.806153857707977,0.01
"statlog-german-credit",3,0.723999977111816,"cone",512,0.804615396261215,1
"statlog-german-credit",3,0.708000004291534,"rect",256,0.798461550474167,1
"statlog-german-credit",32,0.708000063896179,"cone",256,0.798461550474167,0.01
"statlog-german-credit",3,0.724000036716461,"cone",1024,0.796923089027405,1
"statlog-german-credit",3,0.723999917507172,"cone",256,0.795384627580643,1
"statlog-german-credit",4,0.712000012397766,"cone",512,0.795384627580643,1
"statlog-german-credit",2,0.723999977111816,"cone",1024,0.795384627580643,0.01
"statlog-german-credit",2,0.70799994468689,"cone",256,0.795384627580643,0.1
"statlog-german-credit",2,0.740000009536743,"cone",1024,0.793846166133881,1
"statlog-german-credit",2,0.744000017642975,"rect",1024,0.793846166133881,1
"statlog-german-credit",4,0.708000063896179,"rect",256,0.790769243240356,0.01
"statlog-german-credit",4,0.724000036716461,"rect",512,0.787692320346832,0.01
"statlog-german-credit",3,0.759999990463257,"rect",512,0.787692320346832,1
"statlog-german-credit",4,0.70799994468689,"cone",256,0.78615385890007,1
"statlog-german-credit",8,0.748000085353851,"cone",1024,0.784615397453308,1
"statlog-german-credit",3,0.720000028610229,"rect",1024,0.783076936006546,0.01
"statlog-german-credit",3,0.703999996185303,"rect",256,0.783076936006546,0.01
"statlog-german-credit",3,0.712000012397766,"cone",1024,0.783076936006546,0.01
"statlog-german-credit",2,0.712000012397766,"cone",1024,0.783076936006546,0.1
"statlog-german-credit",4,0.703999996185303,"cone",1024,0.781538474559784,1
"statlog-german-credit",2,0.711999952793121,"rect",1024,0.781538474559784,0.01
