"dataset","layerForm","valAccuracy","learningrate","testAccuracy","nhidden","nlayers"
"oocytes_merluccius_states_2f","cone",0.911111134290695,1,0.933333337306976,512,2
"oocytes_merluccius_states_2f","rect",0.909876549243927,0.01,0.929411768913269,1024,2
"oocytes_merluccius_states_2f","rect",0.901234585046768,0.1,0.921568632125854,512,3
"oocytes_merluccius_states_2f","rect",0.900000017881393,0.1,0.925490200519562,1024,3
"oocytes_merluccius_states_2f","rect",0.898765456676483,0.1,0.901960790157318,1024,2
"oocytes_merluccius_states_2f","cone",0.897530865669251,0.1,0.933333337306976,512,2
"oocytes_merluccius_states_2f","cone",0.892592597007752,1,0.925490200519562,512,3
"oocytes_merluccius_states_2f","rect",0.891358029842377,1,0.921568632125854,256,3
"oocytes_merluccius_states_2f","cone",0.890123492479325,0.01,0.925490200519562,512,3
"oocytes_merluccius_states_2f","rect",0.890123468637466,0.1,0.929411768913269,1024,4
"oocytes_merluccius_states_2f","cone",0.888888907432556,1,0.905882358551025,1024,3
"oocytes_merluccius_states_2f","rect",0.888888883590698,0.01,0.909803926944733,1024,3
"oocytes_merluccius_states_2f","rect",0.887654322385788,0.01,0.933333337306976,512,2
"oocytes_merluccius_states_2f","cone",0.887654322385788,1,0.925490200519562,256,2
"oocytes_merluccius_states_2f","cone",0.886419785022736,0.1,0.91372549533844,1024,2
"oocytes_merluccius_states_2f","cone",0.886419761180878,1,0.901960790157318,1024,2
"oocytes_merluccius_states_2f","rect",0.885185194015503,0.01,0.921568632125854,256,2
"oocytes_merluccius_states_2f","rect",0.882716059684753,0.1,0.921568632125854,256,2
"oocytes_merluccius_states_2f","rect",0.880246925354004,0.1,0.91372549533844,256,4
"oocytes_merluccius_states_2f","rect",0.880246925354004,0.01,0.905882358551025,512,3
"oocytes_merluccius_states_2f","rect",0.879012358188629,0.01,0.890196084976196,512,4
"oocytes_merluccius_states_2f","rect",0.879012310504913,0.1,0.843137264251709,1024,16
"oocytes_merluccius_states_2f","rect",0.877777773141861,1,0.890196084976196,512,4
"oocytes_merluccius_states_2f","cone",0.876543229818344,0.1,0.905882358551025,256,2
"oocytes_merluccius_states_2f","rect",0.876543205976486,0.1,0.925490200519562,512,2
"oocytes_merluccius_states_2f","rect",0.876543200016022,0.1,0.890196084976196,256,3
"oocytes_merluccius_states_2f","cone",0.87530859708786,0.01,0.921568632125854,512,2
"oocytes_merluccius_states_2f","rect",0.874074065685272,0.1,0.929411768913269,512,4
"oocytes_merluccius_states_2f","cone",0.870370388031006,0.01,0.854901969432831,512,4
"oocytes_merluccius_states_2f","rect",0.869135820865631,1,0.886274516582489,256,4
"oocytes_merluccius_states_2f","cone",0.866666698455811,0.01,0.874509811401367,1024,2
"oocytes_merluccius_states_2f","cone",0.866666680574417,1,0.878431379795074,256,3
"oocytes_merluccius_states_2f","cone",0.865432089567185,1,0.866666674613953,256,4
"oocytes_merluccius_states_2f","rect",0.864197516441345,1,0.882352948188782,1024,2
"oocytes_merluccius_states_2f","cone",0.859259271621704,1,0.835294127464294,256,8
"oocytes_merluccius_states_2f","rect",0.855555576086044,1,0.866666674613953,512,2
"oocytes_merluccius_states_2f","cone",0.853086441755295,1,0.866666674613953,512,4
"oocytes_merluccius_states_2f","rect",0.853086388111115,0.01,0.874509811401367,1024,4
"oocytes_merluccius_states_2f","cone",0.84938268661499,0.01,0.890196084976196,256,2
"oocytes_merluccius_states_2f","cone",0.848148143291473,0.1,0.878431379795074,256,3
"oocytes_merluccius_states_2f","rect",0.843209910392761,1,0.847058832645416,1024,4
"oocytes_merluccius_states_2f","rect",0.840740716457367,1,0.835294127464294,256,2
"oocytes_merluccius_states_2f","cone",0.83950617313385,1,0.87058824300766,512,8
"oocytes_merluccius_states_2f","cone",0.832098758220673,0.1,0.866666674613953,1024,3
"oocytes_merluccius_states_2f","rect",0.832098752260208,0.01,0.87058824300766,256,3
"oocytes_merluccius_states_2f","rect",0.829629611968994,0.01,0.796078443527222,256,4
"oocytes_merluccius_states_2f","rect",0.823456788063049,0.1,0.835294127464294,256,16
"oocytes_merluccius_states_2f","rect",0.82345677614212,0.1,0.874509811401367,1024,8
"oocytes_merluccius_states_2f","cone",0.822222208976746,0.01,0.858823537826538,1024,3
"oocytes_merluccius_states_2f","cone",0.812345671653748,0.01,0.866666674613953,1024,4
"oocytes_merluccius_states_2f","cone",0.812345671653748,1,0.858823537826538,1024,4
"oocytes_merluccius_states_2f","rect",0.779012352228165,1,0.631372570991516,256,8
"oocytes_merluccius_states_2f","rect",0.777777796983719,1,0.796078443527222,1024,3
"oocytes_merluccius_states_2f","rect",0.765432095527649,0.1,0.788235306739807,512,16
"oocytes_merluccius_states_2f","cone",0.75679013133049,0.01,0.74117648601532,256,4
"oocytes_merluccius_states_2f","rect",0.753086426854134,1,0.772549033164978,1024,8
"oocytes_merluccius_states_2f","rect",0.750617289543152,0.1,0.713725507259369,512,8
"oocytes_merluccius_states_2f","cone",0.722222256660461,0.1,0.713725507259369,1024,4
"oocytes_merluccius_states_2f","cone",0.722222244739532,0.1,0.69803923368454,256,4
"oocytes_merluccius_states_2f","cone",0.717283970117569,0.1,0.709803938865662,512,4
"oocytes_merluccius_states_2f","rect",0.716049414873123,1,0.7843137383461,512,3
"oocytes_merluccius_states_2f","cone",0.71604939699173,0.01,0.733333349227905,256,3
"oocytes_merluccius_states_2f","cone",0.714814847707748,0.1,0.701960802078247,512,3
"oocytes_merluccius_states_2f","cone",0.707407402992249,1,0.701960802078247,1024,8
"oocytes_merluccius_states_2f","cone",0.690123462677002,0.01,0.690196096897125,1024,8
"oocytes_merluccius_states_2f","cone",0.688888901472092,0.1,0.690196096897125,1024,8
"oocytes_merluccius_states_2f","rect",0.686419796943665,0.01,0.690196096897125,1024,8
"oocytes_merluccius_states_2f","rect",0.683950626850128,0.01,0.690196096897125,256,8
"oocytes_merluccius_states_2f","rect",0.682716065645218,0.1,0.690196096897125,256,8
"oocytes_merluccius_states_2f","rect",0.680246931314468,0.01,0.690196096897125,512,8
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.01,0.690196096897125,1024,32
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.01,0.690196096897125,512,32
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.01,0.690196096897125,256,32
"oocytes_merluccius_states_2f","rect",0.679012358188629,0.01,0.690196096897125,256,32
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.1,0.690196096897125,1024,32
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.1,0.690196096897125,512,32
"oocytes_merluccius_states_2f","cone",0.679012358188629,1,0.690196096897125,512,32
"oocytes_merluccius_states_2f","rect",0.679012358188629,1,0.690196096897125,512,32
"oocytes_merluccius_states_2f","cone",0.679012358188629,1,0.690196096897125,256,32
"oocytes_merluccius_states_2f","rect",0.679012358188629,1,0.690196096897125,256,32
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.01,0.690196096897125,1024,16
"oocytes_merluccius_states_2f","rect",0.679012358188629,0.01,0.690196096897125,1024,16
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.01,0.690196096897125,512,16
"oocytes_merluccius_states_2f","rect",0.679012358188629,0.01,0.690196096897125,512,16
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.01,0.690196096897125,256,16
"oocytes_merluccius_states_2f","rect",0.679012358188629,0.01,0.690196096897125,256,16
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.1,0.690196096897125,1024,16
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.1,0.690196096897125,512,16
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.1,0.690196096897125,256,16
"oocytes_merluccius_states_2f","rect",0.679012358188629,1,0.690196096897125,256,16
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.01,0.690196096897125,512,8
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.01,0.690196096897125,256,8
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.1,0.690196096897125,512,8
"oocytes_merluccius_states_2f","cone",0.679012358188629,0.1,0.690196096897125,256,8
"oocytes_merluccius_states_2f","rect",0.669135820865631,0.01,0.65490198135376,512,32
"oocytes_merluccius_states_2f","rect",0.61728396192193,0.1,0.690196096897125,1024,32
"oocytes_merluccius_states_2f","rect",0.59259260892868,1,0.623529434204102,512,16
"oocytes_merluccius_states_2f","rect",0.575308654457331,1,0.690196096897125,1024,32
"oocytes_merluccius_states_2f","rect",0.533333346992731,0.1,0.0588235333561897,512,32
"oocytes_merluccius_states_2f","cone",0.520987671613693,0.1,0.690196096897125,256,32
"oocytes_merluccius_states_2f","rect",0.507407426834107,1,0.250980406999588,512,8
"oocytes_merluccius_states_2f","rect",0.432098773121834,0.1,0.0588235333561897,256,32
"oocytes_merluccius_states_2f","cone",0.413580253720284,1,0.478431403636932,1024,16
"oocytes_merluccius_states_2f","rect",0.383950617909431,0.01,0.364705920219421,1024,32
"oocytes_merluccius_states_2f","rect",0.244444451481104,1,0.172549024224281,1024,16
"oocytes_merluccius_states_2f","cone",0.219753094017506,1,0.0823529437184334,256,16
"oocytes_merluccius_states_2f","cone",0.124691362679005,1,0.0588235333561897,512,16
"oocytes_merluccius_states_2f","cone",0.0617283955216408,1,0.0588235333561897,1024,32
