"dataset","layerForm","nlayers","learningrate","testAccuracy","nhidden","valAccuracy"
"lymphography","rect",8,0.01,0.756756842136383,512,1
"lymphography","cone",8,0.1,0.756756782531738,512,1
"lymphography","rect",8,0.1,0.783783853054047,256,1
"lymphography","cone",4,0.01,0.783783853054047,256,1
"lymphography","cone",4,0.1,0.729729771614075,512,1
"lymphography","cone",4,0.1,0.72972971200943,256,1
"lymphography","cone",3,0.01,0.81081086397171,512,1
"lymphography","cone",3,0.1,0.729729831218719,1024,1
"lymphography","cone",3,0.1,0.810810804367065,256,1
"lymphography","cone",2,0.01,0.756756782531738,1024,1
"lymphography","rect",2,0.01,0.783783853054047,512,1
"lymphography","cone",3,0.1,0.756756782531738,512,0.991666668653488
"lymphography","cone",3,1,0.675675690174103,1024,0.991666668653488
"lymphography","rect",3,0.01,0.783783853054047,512,0.983333337306976
"lymphography","rect",4,0.1,0.756756782531738,256,0.983333337306976
"lymphography","rect",8,0.01,0.621621668338776,1024,0.966666674613953
"lymphography","cone",8,0.01,0.729729771614075,512,0.966666674613953
"lymphography","cone",8,0.01,0.621621668338776,256,0.966666674613953
"lymphography","cone",4,0.1,0.783783853054047,1024,0.958333343267441
"lymphography","rect",2,0.01,0.756756842136383,1024,0.958333343267441
"lymphography","rect",8,0.1,0.621621668338776,512,0.933333349227905
"lymphography","rect",4,0.01,0.783783853054047,1024,0.916666686534882
"lymphography","cone",4,0.01,0.648648679256439,512,0.916666686534882
"lymphography","rect",4,0.1,0.783783853054047,512,0.916666686534882
"lymphography","cone",3,0.01,0.837837874889374,1024,0.916666686534882
"lymphography","cone",3,0.01,0.837837874889374,256,0.916666686534882
"lymphography","rect",3,0.1,0.756756842136383,1024,0.916666686534882
"lymphography","rect",3,0.1,0.756756842136383,512,0.916666686534882
"lymphography","cone",3,1,0.648648679256439,512,0.916666686534882
"lymphography","rect",2,0.01,0.702702760696411,256,0.916666686534882
"lymphography","rect",2,0.1,0.810810923576355,512,0.916666686534882
"lymphography","cone",2,0.1,0.783783793449402,256,0.916666686534882
"lymphography","cone",2,1,0.756756782531738,1024,0.916666686534882
"lymphography","cone",2,1,0.72972971200943,256,0.916666686534882
"lymphography","cone",8,1,0.810810804367065,256,0.916666680574417
"lymphography","cone",4,1,0.675675690174103,512,0.90833335518837
"lymphography","cone",2,0.01,0.729729771614075,512,0.90833335518837
"lymphography","rect",8,0.01,0.594594657421112,256,0.891666692495346
"lymphography","rect",2,0.1,0.702702760696411,1024,0.891666692495346
"lymphography","cone",2,0.1,0.783783793449402,1024,0.891666686534882
"lymphography","rect",3,0.1,0.729729771614075,256,0.858333367109299
"lymphography","cone",32,1,0.567567646503448,512,0.833333373069763
"lymphography","rect",32,1,0.567567646503448,512,0.833333373069763
"lymphography","cone",16,0.01,0.594594657421112,1024,0.833333373069763
"lymphography","rect",16,0.01,0.594594657421112,1024,0.833333373069763
"lymphography","rect",16,0.01,0.567567646503448,512,0.833333373069763
"lymphography","cone",16,0.01,0.567567646503448,256,0.833333373069763
"lymphography","rect",16,0.01,0.594594657421112,256,0.833333373069763
"lymphography","cone",16,0.1,0.594594657421112,512,0.833333373069763
"lymphography","rect",16,0.1,0.567567646503448,256,0.833333373069763
"lymphography","rect",16,1,0.567567646503448,512,0.833333373069763
"lymphography","cone",16,1,0.567567646503448,256,0.833333373069763
"lymphography","rect",8,0.1,0.783783853054047,1024,0.833333373069763
"lymphography","cone",4,0.01,0.729729771614075,1024,0.833333373069763
"lymphography","cone",2,0.1,0.729729771614075,512,0.833333373069763
"lymphography","rect",2,0.1,0.837837874889374,256,0.833333373069763
"lymphography","cone",3,1,0.648648679256439,256,0.825000035762787
"lymphography","rect",2,1,0.675675690174103,256,0.825000035762787
"lymphography","cone",2,1,0.702702760696411,512,0.816666692495346
"lymphography","rect",8,1,0.648648679256439,256,0.80833335518837
"lymphography","rect",2,1,0.729729771614075,512,0.800000017881394
"lymphography","cone",8,0.1,0.702702701091766,1024,0.775000023841858
"lymphography","cone",32,1,0.405405431985855,1024,0.766666702926159
"lymphography","rect",16,1,0.567567646503448,256,0.766666702926159
"lymphography","rect",3,0.01,0.702702701091766,1024,0.766666680574417
"lymphography","rect",4,0.1,0.702702701091766,1024,0.758333349227905
"lymphography","rect",3,1,0.756756782531738,512,0.750000011920929
"lymphography","rect",4,0.01,0.729729771614075,256,0.75
"lymphography","cone",2,0.01,0.756756842136383,256,0.75
"lymphography","cone",4,1,0.702702701091766,1024,0.741666692495346
"lymphography","cone",8,1,0.567567646503448,512,0.733333364129066
"lymphography","cone",8,0.01,0.594594597816467,1024,0.725000029802322
"lymphography","rect",8,1,0.513513505458832,1024,0.725000005960464
"lymphography","cone",4,1,0.648648738861084,256,0.716666680574417
"lymphography","rect",4,1,0.675675690174103,256,0.700000011920929
"lymphography","rect",3,1,0.648648679256439,1024,0.691666680574417
"lymphography","rect",2,1,0.675675690174103,1024,0.65833335518837
"lymphography","cone",8,0.1,0.513513565063477,256,0.641666704416275
"lymphography","rect",16,0.1,0.32432433962822,1024,0.633333358168602
"lymphography","rect",4,1,0.648648679256439,1024,0.625000017881393
"lymphography","rect",32,0.1,0.567567646503448,1024,0.616666695475578
"lymphography","cone",16,1,0.567567646503448,512,0.591666692495346
"lymphography","rect",4,0.01,0.621621668338776,512,0.583333373069763
