dataset,test_accuracy,test_accuracy,paper_testAccuracy
,max,std,
abalone,0.654,0.019,0.678
acute-inflammation,1.000,0.014,1.000
acute-nephritis,1.000,0.000,1.000
adult,0.849,0.050,0.854
annealing,0.889,0.059,0.760
arrhythmia,0.676,0.067,0.699
audiology-std,0.867,0.109,0.840
balance-scale,0.989,0.128,0.981
balloons,1.000,0.250,1.000
bank,0.898,0.012,0.901
blood,0.894,0.061,0.813
breast-cancer,0.837,0.096,0.993
breast-cancer-wisc,1.000,0.021,0.796
breast-cancer-wisc-diag,0.977,0.017,0.989
breast-cancer-wisc-prog,0.850,0.042,0.789
breast-tissue,0.812,0.187,0.808
car,0.981,0.194,0.844
cardiotocography-10clases,0.859,0.028,0.944
cardiotocography-3clases,0.928,0.047,0.988
chess-krvk,0.166,0.037,0.996
chess-krvkp,0.996,0.002,0.881
congressional-voting,0.727,0.044,0.661
conn-bench-sonar-mines-rocks,0.875,0.041,0.885
conn-bench-vowel-deterding,0.987,0.431,0.998
connect-4,0.883,0.044,0.885
contrac,0.588,0.018,0.579
credit-approval,0.894,0.033,0.890
cylinder-bands,0.844,0.047,0.828
dermatology,0.982,0.370,0.989
echocardiogram,0.825,0.066,0.909
ecoli,0.922,0.072,0.917
energy-y1,0.974,0.193,0.964
energy-y2,0.897,0.071,0.911
fertility,0.933,0.094,0.960
flags,0.600,0.195,0.563
glass,0.606,0.154,0.774
haberman-survival,0.761,0.019,0.776
hayes-roth,0.875,0.161,0.964
heart-cleveland,0.630,0.053,0.671
heart-hungarian,0.844,0.098,0.836
heart-switzerland,0.421,0.096,0.613
heart-va,0.367,0.047,0.440
hepatitis,0.792,0.040,0.872
hill-valley,0.692,0.094,0.592
horse-colic,0.821,0.052,0.882
ilpd-indian-liver,0.744,0.013,0.760
image-segmentation,0.965,0.465,0.915
ionosphere,0.981,0.024,0.955
iris,0.957,0.061,1.000
led-display,0.540,0.092,0.792
lenses,0.750,0.125,1.000
letter,0.979,0.003,0.978
libras,0.889,0.439,0.867
low-res-spect,0.925,0.036,0.925
lung-cancer,0.600,0.100,0.750
lymphography,0.826,0.022,0.973
magic,0.876,0.106,0.874
mammographic,0.807,0.094,0.850
miniboone,0.932,0.377,0.932
molec-biol-promoter,0.875,0.121,0.923
molec-biol-splice,0.898,0.016,0.901
monks-1,0.976,0.289,0.877
monks-2,0.918,0.129,0.722
monks-3,0.964,0.023,0.766
mushroom,1.000,0.276,1.000
musk-1,0.958,0.026,0.916
musk-2,0.998,0.003,0.993
nursery,0.999,0.311,0.999
oocytes_merluccius_nucleus_4d,0.828,0.019,0.847
oocytes_merluccius_states_2f,0.961,0.029,0.953
oocytes_trisopterus_nucleus_2f,0.869,0.030,0.838
oocytes_trisopterus_states_5b,0.993,0.050,0.965
optical,0.992,0.447,0.973
ozone,0.976,0.014,0.975
page-blocks,0.976,0.008,0.970
parkinsons,0.933,0.083,0.918
pendigits,0.993,0.517,0.976
pima,0.802,0.033,0.786
pittsburg-bridges-MATERIAL,0.938,0.157,0.962
pittsburg-bridges-REL-L,0.750,0.149,0.885
pittsburg-bridges-SPAN,0.571,0.058,0.739
pittsburg-bridges-T-OR-D,0.938,0.114,0.960
pittsburg-bridges-TYPE,0.562,0.081,0.769
planning,0.607,0.053,0.778
plant-margin,0.846,0.471,0.855
plant-shape,0.742,0.041,0.743
plant-texture,0.863,0.015,0.812
post-operative,0.786,0.107,0.727
primary-tumor,0.520,0.044,0.573
ringnorm,0.983,0.002,0.988
seeds,0.969,0.040,0.981
semeion,0.184,0.049,0.960
soybean,0.903,0.053,0.918
spambase,0.946,0.195,0.946
spect,0.750,0.052,0.920
spectf,0.854,0.133,0.726
statlog-australian-credit,0.712,0.025,0.703
statlog-german-credit,0.770,0.034,0.776
statlog-heart,0.890,0.090,0.940
statlog-image,0.847,0.399,0.971
statlog-landsat,0.936,0.004,0.919
statlog-shuttle,0.997,0.114,0.999
statlog-vehicle,0.858,0.061,0.844
steel-plates,0.774,0.024,0.784
synthetic-control,0.989,0.202,1.000
teaching,0.565,0.096,0.658
thyroid,0.982,0.004,0.982
tic-tac-toe,0.993,0.007,0.987
titanic,0.785,0.017,0.793
trains,1.000,0.239,1.000
twonorm,0.975,0.004,0.984
vertebral-column-2clases,0.915,0.077,0.883
vertebral-column-3clases,0.851,0.291,0.883
wall-following,0.923,0.259,0.924
waveform,0.897,0.018,0.872
waveform-noise,0.876,0.012,0.883
wine,1.000,0.035,0.652
wine-quality-red,0.654,0.026,0.637
wine-quality-white,0.646,0.163,1.000
yeast,0.605,0.099,0.639
zoo,1.000,0.120,1.000
