dataset,rows,features,task,model_name,test_score,test_accuracy,hyperparameters
abalone,4177,8,CLASSIFICATION,snn_abalone,1.0376790177308772,0.6108452956262007,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
acute-inflammation,120,6,CLASSIFICATION,snn_acute-inflammation,0.023955464363098145,1.0,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
acute-nephritis,120,6,CLASSIFICATION,snn_acute-nephritis,0.0017836594488471746,1.0,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
adult,48842,14,CLASSIFICATION,snn_adult,0.3549991739272941,0.8389518219223611,"{'nlayers': 3, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
annealing,898,31,CLASSIFICATION,snn_annealing,2.865439185389766,0.8222222226637381,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
arrhythmia,452,262,CLASSIFICATION,snn_arrhythmia,1.7174351355608772,0.6764705882352942,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
audiology-std,196,59,CLASSIFICATION,snn_audiology-std,1.6993362903594968,0.7333333492279053,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
balance-scale,625,4,CLASSIFICATION,snn_balance-scale,4.458196568996348,0.7234042591237008,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
balloons,16,4,CLASSIFICATION,snn_balloons,1.574024677276611,0.5,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
bank,4521,16,CLASSIFICATION,snn_bank,2.0067309890825724,0.8748159059193068,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 1.0, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
blood,748,4,CLASSIFICATION,snn_blood,0.6566427073120016,0.792035399285038,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
breast-cancer-wisc-diag,569,30,CLASSIFICATION,snn_breast-cancer-wisc-diag,0.08582783282496208,0.9767441818880479,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
breast-cancer-wisc-prog,198,33,CLASSIFICATION,snn_breast-cancer-wisc-prog,0.8408747315406799,0.7666666507720947,"{'nlayers': 2, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
breast-cancer-wisc,699,9,CLASSIFICATION,snn_breast-cancer-wisc,0.10255321822173538,0.9761904761904762,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
breast-cancer,286,9,CLASSIFICATION,snn_breast-cancer,0.9944328901379608,0.7558139590329902,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
breast-tissue,106,9,CLASSIFICATION,snn_breast-tissue,0.7324903011322021,0.8125,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
cardiotocography-10clases,2126,21,CLASSIFICATION,snn_cardiotocography-10clases,0.6303436692605572,0.8589341696526936,"{'nlayers': 16, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
cardiotocography-3clases,2126,21,CLASSIFICATION,snn_cardiotocography-3clases,2.7789819576897217,0.827586207457097,"{'nlayers': 32, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.01, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
car,1728,6,CLASSIFICATION,snn_car,6.757201561560997,0.5807692307692308,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.0, 'activationFn': 1}"
chess-krvkp,3196,36,CLASSIFICATION,snn_chess-krvkp,0.031501913069196044,0.9958333333333332,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 256, 'learningrate': 0.1, 'layerForm': 'cone', 'dR': 0.05, 'activationFn': 1}"
chess-krvk,28056,6,CLASSIFICATION,snn_chess-krvk,13.437490378742574,0.16631028748098134,"{'nlayers': 8, 'dropoutFn': 'dropToValue', 'nstart': 512, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.0, 'activationFn': 1}"
congressional-voting,435,16,CLASSIFICATION,snn_congressional-voting,0.8156813166358254,0.7272727272727273,"{'nlayers': 4, 'dropoutFn': 'dropToValue', 'nstart': 1024, 'learningrate': 0.1, 'layerForm': 'rect', 'dR': 0.05, 'activationFn': 1}"
