"dataset","learningrate","nlayers","testAccuracy","valAccuracy","layerForm","nhidden"
"acute-nephritis",0.01,4,1,1,"rect",1024
"acute-nephritis",0.01,4,1,1,"cone",512
"acute-nephritis",0.01,4,1,1,"rect",512
"acute-nephritis",0.01,4,1,1,"cone",256
"acute-nephritis",0.01,4,1,1,"rect",256
"acute-nephritis",0.01,3,1,1,"cone",1024
"acute-nephritis",0.01,3,1,1,"rect",1024
"acute-nephritis",0.01,3,1,1,"cone",512
"acute-nephritis",0.01,3,1,1,"rect",512
"acute-nephritis",0.01,3,1,1,"cone",256
"acute-nephritis",0.01,3,1,1,"rect",256
"acute-nephritis",0.1,3,1,1,"cone",512
"acute-nephritis",0.1,3,0.966666698455811,1,"rect",256
"acute-nephritis",0.01,2,1,1,"cone",1024
"acute-nephritis",0.01,2,1,1,"rect",1024
"acute-nephritis",0.01,2,1,1,"cone",512
"acute-nephritis",0.01,2,1,1,"rect",512
"acute-nephritis",0.01,2,1,1,"cone",256
"acute-nephritis",0.01,2,1,1,"rect",256
"acute-nephritis",0.1,2,1,1,"cone",1024
"acute-nephritis",0.1,2,1,1,"rect",1024
"acute-nephritis",0.1,2,1,1,"cone",512
"acute-nephritis",0.1,2,1,1,"rect",512
"acute-nephritis",0.1,2,1,1,"cone",256
"acute-nephritis",0.1,2,1,1,"rect",256
"acute-nephritis",0.01,8,0.73333340883255,0.666666686534881,"rect",256
"acute-nephritis",0.1,3,0.666666746139526,0.650000017881393,"cone",1024
"acute-nephritis",1,2,0.633333325386047,0.650000017881393,"cone",1024
"acute-nephritis",1,2,0.600000023841858,0.508333337306976,"rect",512
"acute-nephritis",1,2,0.600000023841858,0.508333337306976,"cone",256
"acute-nephritis",0.01,32,0.600000023841858,0.5,"cone",1024
"acute-nephritis",0.01,32,0.600000023841858,0.5,"rect",1024
"acute-nephritis",0.01,32,0.600000023841858,0.5,"cone",512
"acute-nephritis",0.01,32,0.600000023841858,0.5,"rect",512
"acute-nephritis",0.01,32,0.600000023841858,0.5,"cone",256
"acute-nephritis",0.01,32,0.600000023841858,0.5,"rect",256
"acute-nephritis",0.1,32,0.600000023841858,0.5,"cone",1024
"acute-nephritis",0.1,32,0.600000023841858,0.5,"rect",1024
"acute-nephritis",0.1,32,0.600000023841858,0.5,"cone",512
"acute-nephritis",0.1,32,0.600000023841858,0.5,"rect",512
"acute-nephritis",0.1,32,0.600000023841858,0.5,"cone",256
"acute-nephritis",0.1,32,0.600000023841858,0.5,"rect",256
"acute-nephritis",1,32,0.600000023841858,0.5,"cone",1024
"acute-nephritis",1,32,0.600000023841858,0.5,"rect",1024
"acute-nephritis",1,32,0.600000023841858,0.5,"cone",512
"acute-nephritis",1,32,0.600000023841858,0.5,"rect",512
"acute-nephritis",1,32,0.600000023841858,0.5,"cone",256
"acute-nephritis",1,32,0.600000023841858,0.5,"rect",256
"acute-nephritis",0.01,16,0.600000023841858,0.5,"cone",1024
"acute-nephritis",0.01,16,0.600000023841858,0.5,"rect",1024
"acute-nephritis",0.01,16,0.600000023841858,0.5,"cone",512
"acute-nephritis",0.01,16,0.600000023841858,0.5,"rect",512
"acute-nephritis",0.01,16,0.400000035762787,0.5,"cone",256
"acute-nephritis",0.01,16,0.600000023841858,0.5,"rect",256
"acute-nephritis",0.1,16,0.600000023841858,0.5,"cone",1024
"acute-nephritis",0.1,16,0.600000023841858,0.5,"rect",1024
"acute-nephritis",0.1,16,0.600000023841858,0.5,"cone",512
"acute-nephritis",0.1,16,0.600000023841858,0.5,"rect",512
"acute-nephritis",0.1,16,0.600000023841858,0.5,"cone",256
"acute-nephritis",0.1,16,0.600000023841858,0.5,"rect",256
"acute-nephritis",1,16,0.600000023841858,0.5,"cone",1024
"acute-nephritis",1,16,0.600000023841858,0.5,"rect",1024
"acute-nephritis",1,16,0.600000023841858,0.5,"cone",512
"acute-nephritis",1,16,0.600000023841858,0.5,"rect",512
"acute-nephritis",1,16,0.600000023841858,0.5,"cone",256
"acute-nephritis",1,16,0.600000023841858,0.5,"rect",256
"acute-nephritis",0.01,8,0.600000023841858,0.5,"cone",1024
"acute-nephritis",0.01,8,0.600000023841858,0.5,"rect",1024
"acute-nephritis",0.01,8,0.600000023841858,0.5,"cone",512
"acute-nephritis",0.01,8,0.600000023841858,0.5,"rect",512
"acute-nephritis",0.01,8,0.600000023841858,0.5,"cone",256
"acute-nephritis",0.1,8,0.600000023841858,0.5,"cone",1024
"acute-nephritis",0.1,8,0.600000023841858,0.5,"rect",1024
"acute-nephritis",0.1,8,0.600000023841858,0.5,"cone",512
"acute-nephritis",0.1,8,0.600000023841858,0.5,"rect",512
"acute-nephritis",0.1,8,0.600000023841858,0.5,"cone",256
"acute-nephritis",0.1,8,0.600000023841858,0.5,"rect",256
"acute-nephritis",1,8,0.600000023841858,0.5,"cone",1024
"acute-nephritis",1,8,0.600000023841858,0.5,"rect",1024
"acute-nephritis",1,8,0.600000023841858,0.5,"cone",512
"acute-nephritis",1,8,0.600000023841858,0.5,"rect",512
"acute-nephritis",1,8,0.600000023841858,0.5,"cone",256
"acute-nephritis",1,8,0.600000023841858,0.5,"rect",256
"acute-nephritis",0.01,4,0.400000035762787,0.5,"cone",1024
"acute-nephritis",0.1,4,0.600000023841858,0.5,"cone",1024
"acute-nephritis",0.1,4,0.600000023841858,0.5,"rect",1024
"acute-nephritis",0.1,4,0.400000035762787,0.5,"cone",512
"acute-nephritis",0.1,4,0.600000023841858,0.5,"rect",512
"acute-nephritis",0.1,4,0.600000023841858,0.5,"cone",256
"acute-nephritis",0.1,4,0.600000023841858,0.5,"rect",256
"acute-nephritis",1,4,0.600000023841858,0.5,"cone",1024
"acute-nephritis",1,4,0.600000023841858,0.5,"rect",1024
"acute-nephritis",1,4,0.600000023841858,0.5,"cone",512
"acute-nephritis",1,4,0.600000023841858,0.5,"rect",512
"acute-nephritis",1,4,0.600000023841858,0.5,"cone",256
"acute-nephritis",1,4,0.600000023841858,0.5,"rect",256
"acute-nephritis",0.1,3,0.600000023841858,0.5,"rect",1024
"acute-nephritis",0.1,3,0.600000023841858,0.5,"rect",512
"acute-nephritis",0.1,3,0.600000023841858,0.5,"cone",256
"acute-nephritis",1,3,0.600000023841858,0.5,"cone",1024
"acute-nephritis",1,3,0.600000023841858,0.5,"rect",1024
"acute-nephritis",1,3,0.600000023841858,0.5,"cone",512
"acute-nephritis",1,3,0.600000023841858,0.5,"rect",512
"acute-nephritis",1,3,0.600000023841858,0.5,"cone",256
"acute-nephritis",1,3,0.600000023841858,0.5,"rect",256
"acute-nephritis",1,2,0.600000023841858,0.5,"rect",1024
"acute-nephritis",1,2,0.600000023841858,0.5,"cone",512
"acute-nephritis",1,2,0.600000023841858,0.5,"rect",256
