"dataset","layerForm","nhidden","testAccuracy","valAccuracy","nlayers","learningrate"
"oocytes_merluccius_states_2f","rect",256,0.901960790157318,0.886075973510742,4,0.01
"oocytes_merluccius_states_2f","rect",256,0.929411768913269,0.886075973510742,2,0.01
"oocytes_merluccius_states_2f","rect",256,0.909803926944733,0.884810149669647,3,0.01
"oocytes_merluccius_states_2f","rect",512,0.91372549533844,0.882278501987457,4,0.01
"oocytes_merluccius_states_2f","cone",512,0.925490200519562,0.879746854305268,3,0.01
"oocytes_merluccius_states_2f","cone",1024,0.905882358551025,0.879746854305268,2,0.1
"oocytes_merluccius_states_2f","rect",1024,0.929411768913269,0.878481030464173,2,0.01
"oocytes_merluccius_states_2f","rect",512,0.901960790157318,0.872151911258698,3,0.01
"oocytes_merluccius_states_2f","cone",512,0.937254905700684,0.872151911258698,2,0.1
"oocytes_merluccius_states_2f","rect",1024,0.929411768913269,0.868354439735413,4,0.01
"oocytes_merluccius_states_2f","cone",1024,0.901960790157318,0.867088615894318,4,0.1
"oocytes_merluccius_states_2f","cone",256,0.901960790157318,0.867088615894318,3,0.01
"oocytes_merluccius_states_2f","rect",1024,0.925490200519562,0.864556968212128,3,0.01
"oocytes_merluccius_states_2f","cone",1024,0.917647063732147,0.863291144371033,3,0.01
"oocytes_merluccius_states_2f","rect",512,0.917647063732147,0.863291144371033,3,0.1
"oocytes_merluccius_states_2f","cone",1024,0.949019610881805,0.859493672847748,2,0.01
"oocytes_merluccius_states_2f","rect",1024,0.937254905700684,0.858227849006653,2,0.1
"oocytes_merluccius_states_2f","cone",256,0.917647063732147,0.854430383443833,4,0.1
"oocytes_merluccius_states_2f","cone",256,0.925490200519562,0.850632905960083,2,0.1
"oocytes_merluccius_states_2f","rect",256,0.905882358551025,0.850632905960083,2,0.1
"oocytes_merluccius_states_2f","cone",256,0.921568632125854,0.848101270198822,2,0.01
"oocytes_merluccius_states_2f","rect",512,0.91372549533844,0.848101264238358,2,0.1
"oocytes_merluccius_states_2f","rect",512,0.937254905700684,0.844303786754608,2,0.01
"oocytes_merluccius_states_2f","cone",512,0.917647063732147,0.835443019866943,2,0.01
"oocytes_merluccius_states_2f","cone",256,0.854901969432831,0.832911372184754,3,0.1
"oocytes_merluccius_states_2f","cone",1024,0.858823537826538,0.811392450332642,3,0.1
