"dataset","learningrate","layerForm","testAccuracy","nlayers","nhidden","valAccuracy"
"credit-approval",0.1,"rect",0.906976699829102,2,512,0.898039281368256
"credit-approval",0.1,"rect",0.860465109348297,2,1024,0.890196144580841
"credit-approval",0.1,"rect",0.860465049743652,3,256,0.882353007793427
"credit-approval",0.1,"cone",0.877906978130341,8,512,0.880392223596573
"credit-approval",0.1,"cone",0.877906978130341,2,1024,0.874509871006012
"credit-approval",0.01,"cone",0.866279065608978,2,512,0.872549086809158
"credit-approval",0.1,"cone",0.84883713722229,4,256,0.872549080848694
"credit-approval",0.01,"cone",0.877906918525696,2,256,0.868627518415451
"credit-approval",0.01,"cone",0.854651093482971,3,512,0.866666734218597
"credit-approval",0.1,"cone",0.883720993995667,3,256,0.866666734218597
"credit-approval",0.1,"cone",0.860465109348297,3,512,0.86274516582489
"credit-approval",0.01,"rect",0.860465168952942,2,512,0.860784381628036
"credit-approval",0.1,"cone",0.860465049743652,2,512,0.860784381628036
"credit-approval",0.1,"cone",0.866279006004333,4,512,0.856862813234329
"credit-approval",0.01,"rect",0.860465049743652,2,256,0.856862813234329
"credit-approval",0.01,"rect",0.837209343910217,8,512,0.854902029037476
"credit-approval",0.1,"cone",0.848837196826935,4,1024,0.854902029037476
"credit-approval",0.1,"rect",0.877906918525696,2,256,0.854902029037476
"credit-approval",0.1,"rect",0.883720874786377,4,256,0.852941244840622
"credit-approval",0.01,"rect",0.872092962265015,2,1024,0.852941226959228
"credit-approval",0.01,"rect",0.854651212692261,4,256,0.849019676446915
"credit-approval",0.1,"rect",0.860465109348297,4,512,0.845098108053207
"credit-approval",0.01,"cone",0.860465049743652,2,1024,0.845098054409027
"credit-approval",0.01,"rect",0.866279006004333,3,256,0.843137323856354
"credit-approval",0.01,"rect",0.808139443397522,8,256,0.841176533699036
"credit-approval",0.01,"rect",0.843023300170898,3,512,0.841176521778107
"credit-approval",0.01,"cone",0.854651093482971,8,512,0.827451050281525
"credit-approval",0.01,"rect",0.866279125213623,3,1024,0.827451050281525
"credit-approval",0.1,"cone",0.860465049743652,3,1024,0.82745104432106
"credit-approval",0.01,"rect",0.84883725643158,4,512,0.827451026439667
"credit-approval",0.01,"cone",0.848837196826935,3,1024,0.825490266084671
"credit-approval",0.01,"rect",0.796511650085449,8,1024,0.82156867980957
"credit-approval",0.1,"rect",0.831395328044891,3,1024,0.819607901573181
"credit-approval",0.01,"rect",0.84883713722229,4,1024,0.807843202352524
"credit-approval",0.1,"cone",0.877906918525696,2,256,0.784313797950745
"credit-approval",1,"cone",0.441860437393188,2,1024,0.547058856487274
"credit-approval",0.01,"rect",0.441860437393188,32,1024,0.529411792755127
"credit-approval",0.01,"cone",0.441860467195511,32,512,0.529411792755127
"credit-approval",0.01,"rect",0.441860437393188,32,512,0.529411792755127
"credit-approval",0.01,"rect",0.441860467195511,32,256,0.529411792755127
"credit-approval",0.1,"rect",0.441860467195511,32,1024,0.529411792755127
"credit-approval",0.1,"rect",0.441860467195511,32,512,0.529411792755127
"credit-approval",0.1,"cone",0.441860467195511,32,256,0.529411792755127
"credit-approval",0.1,"rect",0.441860496997833,32,256,0.529411792755127
"credit-approval",1,"cone",0.441860437393188,32,1024,0.529411792755127
"credit-approval",1,"rect",0.441860437393188,32,1024,0.529411792755127
"credit-approval",1,"cone",0.441860467195511,32,512,0.529411792755127
"credit-approval",1,"rect",0.441860437393188,32,512,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,32,256,0.529411792755127
"credit-approval",0.01,"rect",0.441860467195511,16,1024,0.529411792755127
"credit-approval",0.01,"cone",0.441860437393188,16,512,0.529411792755127
"credit-approval",0.01,"rect",0.441860496997833,16,512,0.529411792755127
"credit-approval",0.01,"cone",0.441860467195511,16,256,0.529411792755127
"credit-approval",0.01,"rect",0.441860437393188,16,256,0.529411792755127
"credit-approval",0.1,"rect",0.441860496997833,16,1024,0.529411792755127
"credit-approval",0.1,"rect",0.441860437393188,16,512,0.529411792755127
"credit-approval",0.1,"rect",0.441860496997833,16,256,0.529411792755127
"credit-approval",1,"cone",0.441860467195511,16,1024,0.529411792755127
"credit-approval",1,"rect",0.441860437393188,16,1024,0.529411792755127
"credit-approval",1,"cone",0.441860437393188,16,512,0.529411792755127
"credit-approval",1,"rect",0.441860437393188,16,512,0.529411792755127
"credit-approval",1,"cone",0.441860496997833,16,256,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,16,256,0.529411792755127
"credit-approval",0.01,"cone",0.441860467195511,8,1024,0.529411792755127
"credit-approval",0.01,"cone",0.441860496997833,8,256,0.529411792755127
"credit-approval",0.1,"cone",0.441860496997833,8,1024,0.529411792755127
"credit-approval",1,"cone",0.441860496997833,8,1024,0.529411792755127
"credit-approval",1,"rect",0.441860437393188,8,1024,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,8,512,0.529411792755127
"credit-approval",1,"cone",0.441860467195511,8,256,0.529411792755127
"credit-approval",1,"rect",0.441860437393188,8,256,0.529411792755127
"credit-approval",1,"cone",0.441860496997833,4,1024,0.529411792755127
"credit-approval",1,"rect",0.441860437393188,4,1024,0.529411792755127
"credit-approval",1,"rect",0.441860437393188,4,512,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,4,256,0.529411792755127
"credit-approval",0.01,"cone",0.441860437393188,3,256,0.529411792755127
"credit-approval",1,"cone",0.441860496997833,3,1024,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,3,1024,0.529411792755127
"credit-approval",1,"cone",0.441860467195511,3,512,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,3,512,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,2,1024,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,2,512,0.529411792755127
"credit-approval",1,"cone",0.441860437393188,2,256,0.529411792755127
"credit-approval",1,"rect",0.441860467195511,2,256,0.529411792755127
"credit-approval",0.01,"cone",0.563953518867493,4,256,0.521568655967712
"credit-approval",0.1,"rect",0.441860437393188,4,1024,0.505882382392883
"credit-approval",0.1,"rect",0.441860496997833,3,512,0.500000029802322
"credit-approval",0.1,"rect",0.558139562606812,8,1024,0.500000029802322
"credit-approval",0.01,"cone",0.558139562606812,4,1024,0.492156898975372
"credit-approval",1,"cone",0.558139562606812,32,256,0.488235324621201
"credit-approval",0.1,"cone",0.558139562606812,16,256,0.488235324621201
"credit-approval",1,"cone",0.558139562606812,4,256,0.476470619440079
"credit-approval",1,"rect",0.558139562606812,3,256,0.476470619440079
"credit-approval",1,"cone",0.558139562606812,2,512,0.476470619440079
"credit-approval",0.01,"cone",0.558139562606812,32,1024,0.470588266849518
"credit-approval",0.01,"cone",0.558139562606812,32,256,0.470588266849518
"credit-approval",0.1,"cone",0.558139562606812,32,1024,0.470588266849518
"credit-approval",0.1,"cone",0.558139562606812,32,512,0.470588266849518
"credit-approval",0.01,"cone",0.558139562606812,16,1024,0.470588266849518
