"dataset","testAccuracy","layerForm","nhidden","nlayers","learningrate","valAccuracy"
"lymphography",0.783783853054047,"rect",512,4,0.1,0.888888895511627
"lymphography",0.81081086397171,"rect",256,3,0.01,0.888888895511627
"lymphography",0.81081086397171,"cone",1024,3,1,0.888888895511627
"lymphography",0.729729771614075,"rect",512,2,0.01,0.888888895511627
"lymphography",0.783783853054047,"rect",256,2,0.1,0.844444477558136
"lymphography",0.837837874889374,"cone",1024,2,0.1,0.844444459676743
"lymphography",0.783783853054047,"rect",256,4,0.1,0.83888892531395
"lymphography",0.621621668338776,"rect",1024,8,0.01,0.833333373069763
"lymphography",0.648648679256439,"rect",512,8,0.01,0.833333373069763
"lymphography",0.783783853054047,"rect",256,4,0.01,0.833333373069763
"lymphography",0.783783853054047,"cone",1024,4,0.1,0.833333373069763
"lymphography",0.729729771614075,"cone",512,4,0.1,0.833333373069763
"lymphography",0.729729771614075,"cone",1024,4,1,0.833333373069763
"lymphography",0.783783853054047,"rect",1024,3,0.01,0.833333373069763
"lymphography",0.783783853054047,"rect",1024,3,0.1,0.833333373069763
"lymphography",0.783783853054047,"cone",512,3,0.1,0.833333373069763
"lymphography",0.783783853054047,"cone",512,3,1,0.833333373069763
"lymphography",0.837837874889374,"cone",1024,2,0.01,0.833333373069763
"lymphography",0.756756782531738,"rect",256,2,0.01,0.833333373069763
"lymphography",0.81081086397171,"cone",512,2,1,0.833333373069763
"lymphography",0.756756842136383,"cone",256,2,1,0.833333373069763
"lymphography",0.837837874889374,"cone",512,2,0.01,0.816666698455811
"lymphography",0.81081086397171,"cone",1024,3,0.01,0.805555582046509
"lymphography",0.756756842136383,"cone",1024,2,1,0.805555582046509
"lymphography",0.837837874889374,"cone",1024,3,0.1,0.788888907432556
"lymphography",0.783783853054047,"cone",256,3,0.1,0.788888907432556
"lymphography",0.756756782531738,"cone",256,2,0.1,0.788888907432556
"lymphography",0.72972971200943,"rect",1024,16,0.01,0.783333349227905
"lymphography",0.810810804367065,"rect",1024,4,0.01,0.783333349227905
"lymphography",0.729729771614075,"rect",1024,2,0.1,0.783333349227905
"lymphography",0.837837874889374,"cone",512,4,1,0.777777791023255
"lymphography",0.648648679256439,"cone",1024,16,0.1,0.777777791023254
"lymphography",0.783783853054047,"cone",1024,8,0.1,0.777777791023254
"lymphography",0.837837874889374,"rect",256,8,0.1,0.777777791023254
"lymphography",0.783783853054047,"cone",256,4,1,0.777777791023254
"lymphography",0.702702701091766,"cone",512,3,0.01,0.777777791023254
